protein_mention_id,doi,name,abbreviation,species_or_source,role,query,value_origin,source_database,match_status,qa_status,qa_note,uniprot_accession,uniprot_id,reviewed,protein_full_name,organism,sequence_length,molecular_mass_Da,sequence_available,pdb_cross_refs,result_count
3194,10.1002/adfm.201702955,horseradish peroxidase,HRP,horseradish,enzyme incorporated into hydrogel before gelation for glucose sensing,horseradish peroxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3104,10.1002/adfm.201900518,Type-I collagen,,mouse wound tissue,wound healing immunohistochemistry marker,collagen type I mouse mouse wound tissue,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3105,10.1002/adfm.201900518,TNF-alpha,TNF-alpha,mouse wound tissue,inflammatory immunohistochemistry marker,TNF alpha mouse mouse wound tissue,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2741,10.1002/adfm.202005245,fibrin,Fb,,hydrogel network/clot structural protein,fibrin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2742,10.1002/adfm.202005245,fibrinogen,Fg,,precursor protein converted to fibrin,fibrinogen,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2743,10.1002/adfm.202005245,hemostatic elastin-like polypeptide,hELP,engineered protein polymer derived from human tropoelastin ELP sequence,"fibrin-binding, phase-separating clot stiffener",hemostatic elastin-like polypeptide engineered protein polymer derived from human tropoelastin ELP sequence,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2744,10.1002/adfm.202005245,control elastin-like polypeptide,conELP,engineered control ELP,non-crosslinking control protein polymer,control elastin-like polypeptide engineered control ELP,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2745,10.1002/adfm.202005245,factor XIIIa,FXIIIa,human transglutaminase,crosslinking enzyme,human coagulation factor XIII A chain human transglutaminase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2746,10.1002/adfm.202005245,thrombin,,,enzyme converting fibrinogen to fibrin,thrombin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2747,10.1002/adfm.202005245,plasmin,,,protease used for fibrinolysis challenge,plasmin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1746,10.1002/adfm.202010556,bovine serum albumin,BSA,bovine,model protein payload,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1747,10.1002/adfm.202010556,anti-GFP antibody,anti-GFP,,antibody payload targeting GFP,anti-GFP antibody,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1748,10.1002/adfm.202010556,green fluorescence protein,GFP,,intracellular target protein,green fluorescent protein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1749,10.1002/adfm.202010556,anti-COPZ1 antibody,anti-COPZ1,,antibody payload targeting COPZ1,anti-COPZ1 antibody,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1750,10.1002/adfm.202010556,coatomer protein complex zeta 1,COPZ1,,intracellular target protein,COPZ1 human,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1751,10.1002/adfm.202010556,coatomer protein complex zeta 2,COPZ2,,related isoform,COPZ2 human,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1752,10.1002/adfm.202010556,Tripartite motif 21,TRIM21,,intracellular antibody receptor and E3 ubiquitin ligase,TRIM21 human,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1753,10.1002/adfm.202010556,ubiquitin,,,proteasome pathway marker,ubiquitin human,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2488,10.1002/adfm.202308269,penicillin-binding protein 3,PBP3,,PenTag parent protein and beta-lactam binding protein,penicillin-binding protein 3 PBP3,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2489,10.1002/adfm.202308269,truncated penicillin-binding protein 3,PBP3-t,,truncated PenTag version used for protein conjugation and hydrogel crosslinking,penicillin-binding protein 3 truncated PBP3-t,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2490,10.1002/adfm.202308269,mCherry,mCherry,fluorescent protein,fluorescent target/output protein,mCherry fluorescent protein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2491,10.1002/adfm.202308269,PBP3-CCS-mCherry,PBP3-CCS-mCherry,recombinant expression in E. coli,target protein for bead binding capacity,PBP3 mCherry fusion protein recombinant expression in E. coli,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2492,10.1002/adfm.202308269,PBP3t-CCS-mCherry,PBP3t-CCS-mCherry,recombinant expression in E. coli,target protein for bead binding capacity,PBP3-t mCherry fusion protein recombinant expression in E. coli,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2493,10.1002/adfm.202308269,PBP3t-mCherry-PBP3t,PBP3t-mCherry-PBP3t,recombinant expression in E. coli,protein crosslinker and fluorescent cargo in PEG hydrogel,PBP3-t mCherry PBP3-t fusion protein recombinant expression in E. coli,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2494,10.1002/adfm.202308269,caspase-3,Casp3,,protease stimulus for release,caspase-3,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2495,10.1002/adfm.202308269,green fluorescent protein,GFP,,fluorescent output protein in comparator HaloTag gate,green fluorescent protein GFP,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2496,10.1002/adfm.202308269,HaloTag,HaloTag,,orthogonal comparator protein tag,HaloTag protein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2497,10.1002/adfm.202308269,SNAP-Tag,SNAP-Tag,,comparator protein tag,SNAP-tag O6-alkylguanine-DNA alkyltransferase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2498,10.1002/adfm.202308269,tobacco vein mottling virus protease,TVMV,tobacco vein mottling virus,protease input for mCherry OR gate and encoder,tobacco vein mottling virus protease,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2499,10.1002/adfm.202308269,tobacco etch virus protease,TEV,tobacco etch virus,protease input for GFP OR gate and encoder,tobacco etch virus protease,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3110,10.1002/adfm.202309500,bovine serum albumin,BSA,bovine,protein adsorption resistance test protein,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3111,10.1002/adfm.202309500,fibrinogen,,human plasma,protein adsorption resistance test protein,human fibrinogen human plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2298,10.1002/adfm.202309567,fibronectin,FN,Corning Inc.; species not specified,adsorbed ECM adhesive protein,fibronectin Corning Inc.; species not specified,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2299,10.1002/adfm.202309567,laminin,LN,Sigma-Aldrich; species not specified,adsorbed ECM adhesive protein,laminin Sigma-Aldrich; species not specified,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2300,10.1002/adfm.202309567,collagen type I,Col I,"Type I rat tail collagen, Corning Inc.",adsorbed ECM adhesive protein,"collagen type I rat Type I rat tail collagen, Corning Inc.",external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2301,10.1002/adfm.202309567,collagen type IV,Col IV,Sigma-Aldrich; species not specified,adsorbed ECM adhesive protein,collagen type IV Sigma-Aldrich; species not specified,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2302,10.1002/adfm.202309567,fibrinogen,,Sigma-Aldrich; species not specified,adsorbed ECM-related adhesive protein,fibrinogen Sigma-Aldrich; species not specified,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2303,10.1002/adfm.202309567,Matrigel,,Corning Inc.; mixture source not otherwise specified,adsorbed ECM protein mixture,Matrigel Corning Inc.; mixture source not otherwise specified,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2304,10.1002/adfm.202309567,fetal bovine serum,FBS,bovine serum,control incubation medium for cell adhesion context,fetal bovine serum,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2305,10.1002/adfm.202309567,transforming growth factor-beta 1,TGF-beta 1,"human recombinant, Stem RD","myofibroblast-promoting factor, not adsorption target","human TGFB1 human recombinant, Stem RD",external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2228,10.1002/adfm.202513931,alcohol dehydrogenase from Lactobacillus brevis,LbADH,Lactobacillus brevis,enzyme building block; ketoreductase in ADH/GDH cascade,Lactobacillus brevis alcohol dehydrogenase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2229,10.1002/adfm.202513931,glucose-1-dehydrogenase from Bacillus subtilis,BsGDH,Bacillus subtilis,enzyme building block; cofactor regeneration enzyme,Bacillus subtilis glucose-1-dehydrogenase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2230,10.1002/adfm.202513931,phenolic acid decarboxylase from Enterobacter sp.,EsPAD,Enterobacter sp.,enzyme building block for transferability study,Enterobacter phenolic acid decarboxylase Enterobacter sp.,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1737,10.1002/adfm.202519196,microbial transglutaminase,mTG,Streptomyces mobaraensis,enzyme used to crosslink proteins into hydrogels,microbial transglutaminase Streptomyces mobaraensis,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1738,10.1002/adfm.202519196,cationized microbial transglutaminase,cat.mTG,chemically modified microbial transglutaminase,cationized enzyme intermediate,microbial transglutaminase Streptomyces mobaraensis chemically modified microbial transglutaminase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1739,10.1002/adfm.202519196,artificial membrane-binding transglutaminase,[cat.mTG(S)],cationized microbial transglutaminase complexed with oxidized IGEPAL CO-890,artificial membrane-binding enzyme that nucleates proteinaceous hydrogels on HDF surfaces,microbial transglutaminase Streptomyces mobaraensis cationized microbial transglutaminase complexed with oxidized IGEPAL CO-890,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1740,10.1002/adfm.202519196,bovine serum albumin,BSA,bovine,exogenous protein crosslinked into cell-surface hydrogel,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1741,10.1002/adfm.202519196,casein,,,substrate protein in turbidity-based gelation assay,casein,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1742,10.1002/adfm.202519196,gelatin,,,protein hydrogel precursor for mechanical characterization,gelatin collagen-derived,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2416,10.1002/adhm.202201378,albumin,,,serum protein adsorbate discussed in results,albumin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2417,10.1002/adhm.202201378,bovine serum albumin,BSA,bovine,experimental adsorbate,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2418,10.1002/adhm.202201378,fibrinogen,,,experimental adsorbate and serum protein,fibrinogen,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2426,10.1002/adhm.202300695,tumor necrosis factor alpha,TNFα,recombinant human TNFα; human macrophage-secreted TNFα,target cytokine scavenged by antibody-functionalized microgels,human TNF alpha TNF recombinant human TNFα; human macrophage-secreted TNFα,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2427,10.1002/adhm.202300695,TNFα antibody,IgG,"Amgevita Adalimumab, Amgen, Germany",immobilized affinity ligand inside microgels,"adalimumab heavy chain light chain Amgevita Adalimumab, Amgen, Germany",external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2428,10.1002/adhm.202300695,immunoglobulin G,IgG,therapeutic antibody; adalimumab,antibody class of immobilized TNFα antibody,immunoglobulin G therapeutic antibody; adalimumab,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2429,10.1002/adhm.202300695,interleukin 8,IL8,HT29 cell culture supernatant,biointerface inflammatory response marker,human IL8 CXCL8 HT29 cell culture supernatant,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2430,10.1002/adhm.202300695,cyclooxygenase-II,COX II,HT29 cells,biointerface inflammatory response marker,human PTGS2 cyclooxygenase 2 HT29 cells,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2431,10.1002/adhm.202300695,bovine serum albumin,BSA,bovine,protein quantification standard and ELISA blocking agent,bovine serum albumin ALB,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3268,10.1002/adhm.202402556,insulin,Ins,,loaded therapeutic protein released from nanogels,insulin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3269,10.1002/adhm.202402556,glucose oxidase,GOx,,immobilized enzyme producing H2O2 from glucose,glucose oxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2902,10.1002/adhm.202405238,bovine serum albumin,BSA,bovine,model protein for protein adhesion/anti-fouling assay,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2903,10.1002/adhm.202405238,tissue plasminogen activator,t-PA,,fibrinolytic marker in in vivo immunofluorescence and qPCR,tissue plasminogen activator mouse,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2904,10.1002/adhm.202405238,plasminogen activator inhibitor-1,PAI-1,,fibrin degradation inhibitor marker in in vivo immunofluorescence and qPCR,plasminogen activator inhibitor-1 mouse,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2905,10.1002/adhm.202405238,CD68,CD68,,M1 macrophage marker,CD68 mouse,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2906,10.1002/adhm.202405238,CD206,CD206,,M2 macrophage marker,CD206 mouse,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2907,10.1002/adhm.202405238,inducible nitric oxide synthase,iNOS,,inflammatory marker,inducible nitric oxide synthase mouse,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3014,10.1002/adhm.202503260,bovine serum albumin,BSA,bovine,competitive adsorbate; budding trigger,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3015,10.1002/adhm.202503260,myeloperoxidase,MPO,mouse or rat colon tissue context,inflammation marker,myeloperoxidase mouse mouse or rat colon tissue context,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3016,10.1002/adhm.202503260,zona occludens 1,ZO1,mouse or rat colon tissue context,intestinal barrier marker,tight junction protein ZO-1 mouse mouse or rat colon tissue context,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1647,10.1002/adhm.202503483,bovine serum albumin,BSA,bovine,model negatively charged adsorbate,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
1648,10.1002/adhm.202503483,lysozyme,,,model positively charged adsorbate,lysozyme,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1649,10.1002/adhm.202503483,type I collagen,collagen I,,ECM protein adsorbate,collagen type I,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1650,10.1002/adhm.202503483,tumor necrosis factor alpha,TNF-alpha,,inflammatory cytokine stimulus,tumor necrosis factor alpha,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1651,10.1002/adhm.202503483,cell-secreted extracellular matrix proteins,ECM proteins,human MSC-secreted,cell-mediated matrix accumulation outcome,cell-secreted extracellular matrix proteins human MSC-secreted,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
1652,10.1002/adhm.202503483,fetal bovine serum proteins,FBS,fetal bovine serum,cell culture protein mixture,fetal bovine serum proteins,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2536,10.1002/adhm.202505805,lysozyme,Lyz,Sigma-Aldrich; protein >=95%; species not specified,protein adsorption target in static and flow antifouling assays,lysozyme Sigma-Aldrich; protein >=95%; species not specified,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2537,10.1002/adhm.202505805,fibrinogen,Fg,human plasma; Sigma-Aldrich; coagulable protein >=80%,blood plasma protein adsorption target in static and flow antifouling assays,human fibrinogen human plasma; Sigma-Aldrich; coagulable protein >=80%,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2538,10.1002/adhm.202505805,tumor necrosis factor-alpha,TNF-alpha,rabbit serum marker measured by Rabbit TNF-alpha ELISA kit,inflammatory marker in ex vivo circulation assessment,rabbit tumor necrosis factor alpha rabbit serum marker measured by Rabbit TNF-alpha ELISA kit,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3060,10.1002/adma.201101258,His-tagged green fluorescent protein,His-tagged GFP,recombinant commercial protein from Cell Sciences,target protein,green fluorescent protein His-tagged recombinant commercial protein from Cell Sciences,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3061,10.1002/adma.201101258,untagged green fluorescent protein,untagged GFP,recombinant commercial protein from Abcam,negative control protein,green fluorescent protein recombinant commercial protein from Abcam,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3062,10.1002/adma.201101258,His-tagged human ferritin,His-tagged ferritin,human ferritin expressed in Escherichia coli BL21,target protein in lysate purification,human ferritin His-tagged human ferritin expressed in Escherichia coli BL21,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3063,10.1002/adma.201101258,E. coli lysate proteins,,Escherichia coli BL21 lysate,competitor/background proteins,Escherichia coli BL21 proteome Escherichia coli BL21 lysate,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3278,10.1002/adma.202102994,bacterial proteins,,bacteria,mechanistic mention only,bacterial proteins,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3279,10.1002/adma.202102994,cysteine-containing bacterial proteins,,bacteria,mechanistic mention only,cysteine-containing bacterial proteins,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2284,10.1002/adma.202202612,insulin-like growth factor-1,IGF-1,recombinant human,therapeutic protein target released from hydrogels,human IGF1 recombinant human,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2285,10.1002/adma.202202612,pigment epithelium-derived factor,PEDF,recombinant human,therapeutic protein target released from hydrogels,human SERPINF1 PEDF recombinant human,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2286,10.1002/adma.202202612,bovine collagen 1,collagen 1,bovine,bioactivity binding target for PEDF,bovine collagen alpha-1(I),external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2287,10.1002/adma.202202612,IGF-1-binding affibody,,engineered affibody expressed in E. coli,affinity ligand for IGF-1,IGF-1-binding affibody engineered affibody expressed in E. coli,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2288,10.1002/adma.202202612,PEDF-binding affibody,,engineered affibody expressed in E. coli,affinity ligand for PEDF,PEDF-binding affibody engineered affibody expressed in E. coli,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3123,10.1002/adma.202307875,bovine hemoglobin,bHb,bovine,protein adsorbate,bovine hemoglobin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3124,10.1002/adma.202307875,bovine serum albumin,BSA,bovine,protein adsorbate,bovine serum albumin,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
3125,10.1002/adma.202307875,horseradish peroxidase,HRP,horseradish,enzyme adsorbate,horseradish peroxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3126,10.1002/adma.202307875,milk proteins,,milk,complex-matrix proteins removed before SERS detection,milk proteins,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2583,10.1002/adma.202514461,vascular endothelial growth factor 165,VEGF165,PeproTech; species not specified,angiogenic protein cargo and DNA-binding target,VEGF165 PeproTech; species not specified,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2584,10.1002/adma.202514461,actin protein,actin,Cytoskeleton Inc.; rabbit actin implied by preparation details,DNA-stabilizing protein that inhibits DNase I activity,rabbit actin Cytoskeleton Inc.; rabbit actin implied by preparation details,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2585,10.1002/adma.202514461,matrix metalloproteinase,MMP,endogenous enzymes secreted by MSCs and endothelial cells,enzyme trigger for hydrogel degradation,MMP-14 MMP-9 MMP-2 endogenous enzymes secreted by MSCs and endothelial cells,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2586,10.1002/adma.202514461,collagenase I,,,protease used in in vitro degradation assay,collagenase I,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2587,10.1002/adma.202514461,Exonuclease T,,Beyotime,enzyme used to digest DNA and trigger phosphate release,Exonuclease T Beyotime,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2474,10.1002/adma.73688,glucose oxidase,GOx,,enzyme core of GOx@SEN+ and cascade enzyme producing hydrogen peroxide from glucose,glucose oxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2475,10.1002/adma.73688,horseradish peroxidase,HRP,horseradish,enzyme core of HRP@SEN- and cascade enzyme oxidizing ABTS,horseradish peroxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2476,10.1002/adma.73688,ene-reductase,ERED,Pseudomonas putida KT2440,enzyme core of ERED@SEN- and limiting catalyst in reduction cascade,Pseudomonas putida KT2440 ene-reductase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2477,10.1002/adma.73688,glucose dehydrogenase,GDH,Bacillus subtilis,enzyme core of GDH@SEN+ and NADPH-regenerating enzyme,Bacillus subtilis glucose dehydrogenase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2478,10.1002/adma.73688,bovine beta-lactoglobulin,,bovine,literature example of globular protein coacervation,bovine beta-lactoglobulin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2479,10.1002/adma.73688,lactoferrin,,,literature example of globular protein coacervation,lactoferrin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3165,10.1002/admi.201800452,alkaline phosphatase,ALP,bovine intestinal mucosa,adsorbed/coprecipitated osteoinductive enzyme payload,alkaline phosphatase bovine intestinal mucosa,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3166,10.1002/admi.201800452,integrin proteins,,osteoblast cells,cell adhesion-related proteins mentioned mechanistically,integrin osteoblast osteoblast cells,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3275,10.1002/admi.201900598,glucose oxidase,GOx,,primary encapsulated enzyme and immobilized protein,glucose oxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3276,10.1002/admi.201900598,beta-glucosidase,βGluc,,secondary enzyme in tandem catalyst films,beta-glucosidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
3277,10.1002/admi.201900598,horseradish peroxidase,HRP,horseradish,assay enzyme,horseradish peroxidase,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2712,10.1002/admi.202002015,albumin,,TRITC-coupled albumin reagent; serum albumin discussed,adsorption tracer and serum protein coating component,albumin TRITC-coupled albumin reagent; serum albumin discussed,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2713,10.1002/admi.202002015,fetal bovine serum proteins,FBS proteins,fetal bovine serum,protein coating mixture,fetal bovine serum proteins,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2714,10.1002/admi.202002015,fibrinogen,,human plasma,hydrogel blend precursor,human fibrinogen human plasma,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2715,10.1002/admi.202002015,thrombin,,,enzyme used to form fibrin,thrombin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
2716,10.1002/admi.202002015,fibrin,,derived from human plasma fibrinogen,hydrogel protein network and cell-adhesive component,human fibrin derived from human plasma fibrinogen,external_descriptor,UniProt,skipped,skipped,,,,,,,,,False,,
2717,10.1002/admi.202002015,fibronectin,,,discussed adhesion protein,fibronectin,external_descriptor,UniProt,not_queried,not_queried,,,,,,,,,False,,
